I be makin' soup.,Who be makin' soup?,I.,Unnamed: 3
I be makin' houses.,Who be makin' houses?,I.,
I be cookin' beans.,Who be cookin' beans?,I.,
I done gone home early.,Done gone home when?,I.,
I be sin'in' a song.,Who be sin'in' a song?,I.,
I be lovin' dogs.,Who be lovin' dogs?,I.,
I be playin' the piano.,Who be playin' the piano?,I.,
I be goin' to concerts.,Who be goin' to concerts?,I.,
I be swimmin' at the beach.,Who be swimmin' at the beach?,I.,
I be goin' to the mall.,Be goin' where?,The mall.,
I done fixed the car.,Done fixed what?,The car.,
I never ate no fruit snacks.,Never ate no what?,Fruit snacks.,
I done designed those stickers.,Designed what?,Those stickers.,
I be writin' a story.,Be writin' what?,A story.,
I done made that program.,Done made what?,That program.,
I done cleaned the room.,Done cleaned what?,The room.,
I be watchin' them kids.,Be watchin' who?,Kids.,
I be eatin' chicken nuggets.,Who be eatin' chicken nuggets?,I.,
I like them fruit snacks.,Who likes them fruit snacks?,I.,
I be playin' viola.,Who be playin' viola?,I.,
I be conductin' an orchestra.,Be conductin' what?,An orchestra.,
I be lovin' warm weather.,Who be lovin' warm weather?,I.,
I never ate no peppermint bites.,Never ate no what?,Peppermint bites.,
I dig vacations.,Who dig vacations?,I.,
I done drank water today.,Done drank what?,Water today.,
I be likin' carpet floorin'.,Who be likin' carpet floorin'?,I.,
I done charged the computer.,Charged what?,The computer.,
I done went to the dance.,Done went where?,To the dance.,
I done put them stickers on the wall.,Done put stickers where?,On the wall.,
I done pay the bills.,Done pay what?,The bills.,
I takin' a test.,Takin' what?,A test.,
I takin' a train.,Takin' what?,A train.,
I boardin' the airplane.,Boarded what?,The airplane.,
I done left the park.,Left where?,The park.,
I never made no friend.,Never made no what?,Friend.,
I done listened to music.,Listened to what?,Music.,
I done painted a landscape.,Painted what?,A landscape.,
I done improvised a presentation.,Improvised what?,A presentation.,
I done performed a musical.,Performed what?,A musical.,
I done studied hard.,Who done studied hard?,I.,
I done made a reservation at the restaurant.,Done made what?,A reservation at the restaurant.,
I done calculated averages.,Done calculated what?,Averages.,
I done lost them keys.,Done lost what?,Keys.,
I done sold them clothes.,Done sold them what?,Clothes.,
I be dancin' all night.,Be dancin' when?,All night.,
I be knowin' her.,Be knowin' who?,Her.,
I done recognized him.,Recognized who?,Him.,
I never saw no dog.,Never saw no what?,Dog.,
I done volunteered at the park.,Done volunteered where?,At the park.,
I never lost no game.,Never lost no what?,Game.,
I never won no match.,Never won no what?,Match.,
I done picked up the phone.,Picked up what?,The phone.,
I be scrollin' down the webpage.,Be scrollin' down what?,The webpage.,
I done did the homework.,Done did what?,The homework.,
I done cleaned the window.,Done cleaned what?,The window.,
I be openin' the window.,Be openin' what?,The window.,
I done closed the door.,Done closed what?,The door.,
I drew them pictures.,Drew what?,Pictures.,
I done took them.,Done took what?,Them.,
I be buyin' colored pencils.,Be buyin' what?,Colored pencils.,
I done created an origami plane.,Done created what?,An origami plane.,
I done 15 hours of sleep.,Who done 15 hours of sleep?,I.,
I be buying a leather jacket.,Bought what?,A leather jacket.,
I be seeing a Broadway musical.,Saw what?,A Broadway musical.,
I done wrote 20 pages.,Wrote what?,20 pages.,
I be needing to write 20 pages.,Needs to write what?,20 pages.,
I drew on the blackboard.,Drew where?,On the blackboard.,
I never found no iPad.,Never found no what?,iPad.,
I never bought no pen and pencil.,Never bought no what?,Pen and pencil.,
I be learning to code.,Be learning to what?,Code.,
I done found the treasure.,Done found what?,The treasure.,
I be playin' soccer.,Be playin' what?,Soccer.,
I be injured.,Who be injured?,I.,
I never woke up to no cold weather.,Never woke up to no what?,Cold.,
I done stepped outside.,Done stepped where?,Outside.,
I be goin' to bed.,Be goin' where?,To bed.,
I be fallin' asleep.,Who be fallin' asleep?,I.,
I be takin' a nap. ,Be takin' what?,A nap.,
I never got no sickness.,Never got no what?,Sickness.,
I be puttin' on a hat.,Be puttin' on what?,A hat.,
I be callin' the principal.,Be callin' who?,The principal.,
I never fell off no swing.,Never fell off no what?,Swing.,
I never found no seashells.,Never found no what?,Seashells,
I be visitin' a family member.,Be visitin' who?,A family member,
I be pausin' the song.,Be pausin' what?,The song.,
I done invited a friend.,Done invited who?,A friend.,
I never hung out with no friend.,Never hung out with no what?,Friends.,
I be composin' new music.,Be composin' what?,New music.,
I done wrote a novel.,Done wrote what?,A novel.,
I done exercised at the gym.,Done exercised where?,At the gym.,
I be stayin' hydrated.,Be stayin' what?,Hydrated.,
I be playin' with the dog.,Be playin' with what?,The dog.,
I done practiced for 40 hours.,Done practiced how?,For 40 hours.,
I be goin' on a rollercoaster.,Be goin' on what?,A rollercoaster.,
I be rollin' down the hill.,Be rollin' down what?,The hill.,
I done turned off them lights.,Done turned off what?,Lights.,
I done knitted a scarf.,Done knitted what?,A scarf.,
I never voted in no election.,Never voted in no what?,Election.,
I never drank no coffees.,Never drank no what?,Coffees.,
I done bought new earrings.,Bought what?,Earrings.,ANSWERS
Y'all be makin' soup.,Who be makin' soup?,Y'all.,
Y'all be makin' houses.,Who be makin' houses?,Y'all.,
