I who makes chicken nuggets make soup.,Who makes soup?,I.,
I who fixed the car make houses.,Who makes houses?,I.,
I who likes fruit snacks cook beans.,Who cooks beans?,I.,
I who left the mark went home early.,Went home when?,Early.,
I who took a test sing a song.,Who sings a song?,I.,
I who made a friend love dogs.,Who loves dogs?,I.,
I who loves dogs play piano.,Who plays piano?,I.,
I who plays piano go to concerts.,Who goes to concerts?,I.,
I who palys viola swim at the beach.,Who swims at the beach?,I.,
I who conducts an orchestra went to the mall.,Went where?,The mall.,
I who loves warm weather fixed the car.,Fixed what?,The car.,
I who drank water today ate fruit snacks.,Ate what?,Fruit snacks.,
I who took a test designed stickers.,Designed what?,Those stickers.,
I who put stickers on the wall wrote a story.,Wrote what?,A story.,
I who designed stickers made a program.,Made what?,That program.,
I who makes chicken nuggets cleaned the room.,Cleaned what?,The room.,
I who fixed the car watched the kids.,Watched who?,Kids.,
I who likes fruit snacks eat chicken nuggets.,Who eats chicken nuggets?,I.,
I who left the mark like fruit snacks.,Who likes fruit snacks?,I.,
I who took a test play viola.,Who plays viola?,I.,
I who made a friend conduct an orchestra.,Conducts what?,An orchestra.,
I who loves dogs love warm weather.,Who loves warm weather?,I.,
I who plays piano ate peppermint bites.,Ate what?,Peppermint bites.,
I who palys viola like vacations.,Who likes vacations?,I.,
I who conducts an orchestra drank water today.,Drank what?,Water today.,
I who loves warm weather like carpet flooring.,Who likes carpet flooring?,I.,
I who drank water today charged the computer.,Charged what?,The computer.,
I who took a test went to the dance.,Went where?,To the dance.,
I who put stickers on the wall put stickers on the wall.,Put stickers where?,On the wall.,
I who designed stickers paid the bills.,Paid what?,The bills.,
I who makes chicken nuggets took a test.,Took what?,A test.,
I who fixed the car took a train.,Took what?,A train.,
I who likes fruit snacks boarded the airplane.,Boarded what?,The airplane.,
I who left the mark left the park.,Left where?,The park.,
I who took a test made a friend.,Made what?,Friend.,
I who made a friend listened to music.,Listened to what?,Music.,
I who loves dogs painted a landscape.,Painted what?,A landscape.,
I who plays piano improvised a presentation.,Improvised what?,A presentation.,
I who palys viola performed a musical.,Performed what?,A musical.,
I who conducts an orchestra studied hard.,Who studied hard?,I.,
I who loves warm weather made a reservation at the restaurant.,Made what?,A reservation at the restaurant.,
I who drank water today calculated averages.,Calculated what?,Averages.,
I who took a test lost the keys.,Lost what?,Keys.,
I who put stickers on the wall sold the clothes.,Sold what?,Clothes.,
I who designed stickers danced all night.,Danced when?,All night.,
I who makes chicken nuggets knew her.,Knew who?,Her,
I who fixed the car recognized him.,Recognized who?,Him.,
I who likes fruit snacks saw a dog.,Saw what?,Dog.,
