I make soup.,Who makes soup?,I.,Unnamed: 3
I make houses.,Who makes houses?,I.,
I cook beans.,Who cooks beans?,I.,
I went home early.,Went home when?,Early.,
I sing a song.,Who sings a song?,I.,
I love dogs.,Who loves dogs?,I.,
I play piano.,Who plays piano?,I.,
I go to concerts.,Who goes to concerts?,I.,
I swim at the beach.,Who swims at the beach?,I.,
I went to the mall.,Went where?,The mall.,
I fixed the car.,Fixed what?,The car.,
I ate fruit snacks.,Ate what?,Fruit snacks.,
I designed stickers.,Designed what?,Those stickers.,
I wrote a story.,Wrote what?,A story.,
I made a program.,Made what?,That program.,
I cleaned the room.,Cleaned what?,The room.,
I watched the kids.,Watched who?,Kids.,
I eat chicken nuggets.,Who eats chicken nuggets?,I.,
I like fruit snacks.,Who likes fruit snacks?,I.,
I play viola.,Who plays viola?,I.,
I conduct an orchestra.,Conducts what?,An orchestra.,
I love warm weather.,Who loves warm weather?,I.,
I ate peppermint bites.,Ate what?,Peppermint bites.,
I like vacations.,Who likes vacations?,I.,
I drank water today.,Drank what?,Water today.,
I like carpet flooring.,Who likes carpet flooring?,I.,
I charged the computer.,Charged what?,The computer.,
I went to the dance.,Went where?,To the dance.,
I put stickers on the wall.,Put stickers where?,On the wall.,
I paid the bills.,Paid what?,The bills.,
I took a test.,Took what?,A test.,
I took a train.,Took what?,A train.,
I boarded the airplane.,Boarded what?,The airplane.,
I left the park.,Left where?,The park.,
I made a friend.,Made what?,Friend.,
I listened to music.,Listened to what?,Music.,
I painted a landscape.,Painted what?,A landscape.,
I improvised a presentation.,Improvised what?,A presentation.,
I performed a musical.,Performed what?,A musical.,
I studied hard.,Who studied hard?,I.,
I made a reservation at the restaurant.,Made what?,A reservation at the restaurant.,
I calculated averages.,Calculated what?,Averages.,
I lost the keys.,Lost what?,Keys.,
I sold the clothes.,Sold what?,Clothes.,
I danced all night.,Danced when?,All night.,
I knew her.,Knew who?,Her,
I recognized him.,Recognized who?,Him.,
I saw a dog.,Saw what?,Dog.,
I volunteered at the park.,Volunteered where?,At the park.,
I lost the game.,Lost what?,Game.,
I won the match.,Won what?,Match.,
I picked up the phone.,Picked up what?,The phone.,
I scrolled down the webpage.,Scrolled down what?,The webpage.,
I did the homework.,Did what?,The homework.,
I cleaned the window.,Cleaned what?,The window.,
I opened the window.,Opened what?,The window.,
I closed the door.,Closed what?,The door.,
I drew a picture.,Drew what?,Pictures.,
I took a picture.,Took what?,Them.,
I bought colored pencils.,Bought what?,Colored pencils.,
I created an origami plane.,Created what?,An origami plane.,
I slept for 15 hours.,Slept how?,I.,
I bought a leather jacket.,Bought what?,A leather jacket.,
I saw a Broadway musical.,Saw what?,A Broadway musical.,
I wrote 20 pages.,Wrote what?,20 pages.,
I need to write 20 pages.,Needs to what?,20 pages.,
I drew on the blackboard.,Drew where?,On the blackboard.,
I found the iPad.,Found what?,iPad.,
I bought a pen and pencil.,Bought what?,Pen and pencil.,
I learned to code.,Learned what?,Code.,
I found the treasure.,Found what?,The treasure.,
I played soccer.,Played what?,Soccer.,
I was injured.,Who was injured?,I.,
I woke up to cold weather.,Woke up to what?,Cold.,
I stepped outside.,Stepped where?,Outside.,
I went to bed.,Went where?,To bed.,
I fell asleep.,Who fell asleep?,I.,
I took a nap. ,Took what?,A nap.,
I got sick.,Got what?,Sickness.,
I put on a hat.,Put on what?,A hat.,
I called the principal.,Called who?,The principal.,
I fell off a swing.,Fell off what?,Swing.,
I found seashells.,Found what?,Seashells.,
I visited a family member.,Visited who?,A family member.,
I paused the song.,Paused what?,The song.,
I invited a friend.,Invited who?,A friend.,
I hung out with a friend.,Hung out with who?,Friends.,
I composed new music.,Composed what?,New music.,
I wrote a novel.,Wrote what?,A novel.,
I exercised at the gym.,Exercised where?,At the gym.,
I stayed hydrated.,Stayed what?,Hydrated.,
I played with the dog.,Played with what?,The dog.,
I practiced for 40 hours.,Practiced how?,For 40 hours.,
I went on a rollercoaster.,Went where?,A rollercoaster.,
I rolled down the hill.,Rolled down what?,The hill.,
I turned off the light.,Turned off what?,The light.,
I knitted a scarf.,Knitted what?,A scarf.,
I voted in the election.,Voted in what?,Election.,
I drank three coffees.,Drank what?,Coffees.,
I bought new earrings.,Bought what?,Earrings.,ANSWERS
You make soup.,Who makes soup?,You.,
You make houses.,Who makes houses?,You.,
You cook beans.,Who cooks beans?,You.,
You went home early.,Went home when?,Early.,
You sing a song.,Who sings a song?,You.,
You love dogs.,Who loves dogs?,You.,
You play piano.,Who plays piano?,You.,
You go to concerts.,Who goes to concerts?,You.,
You swim at the beach.,Who swims at the beach?,You.,
You went to the mall.,Went where?,The mall.,
You fixed the car.,Fixed what?,The car.,
You ate fruit snacks.,Ate what?,Fruit snacks.,
You designed stickers.,Designed what?,Those stickers.,
You wrote a story.,Wrote what?,A story.,
You made a program.,Made what?,That program.,
You cleaned the room.,Cleaned what?,The room.,
You watched the kids.,Watched who?,Kids.,
You eat chicken nuggets.,Who eats chicken nuggets?,You.,
You like fruit snacks.,Who likes fruit snacks?,You.,
You play viola.,Who plays viola?,You.,
You conduct an orchestra.,Conducts what?,An orchestra.,
You love warm weather.,Who loves warm weather?,You.,
You ate peppermint bites.,Ate what?,Peppermint bites.,
You like vacations.,Who likes vacations?,You.,
You drank water today.,Drank what?,Water today.,
You like carpet flooring.,Who likes carpet flooring?,You.,
You charged the computer.,Charged what?,The computer.,
You went to the dance.,Went where?,To the dance.,
You put stickers on the wall.,Put stickers where?,On the wall.,
